#0       1             2              3              4              5              6              7
#n   starPmass       starX          starY          starZ          starVx         starVy         starVz
148805  1.0002224e-05 -3.3630510e-01  1.0580273e+00  1.2736494e+00  4.0768191e+01  7.4380366e+00  6.2511019e+01 
148806  1.0002224e-05 -1.7813201e-01  3.6631576e-01  4.1958842e-01 -5.5401302e+00  3.1308544e+01 -1.4127136e+01 
148807  1.0002224e-05 -2.0487614e+00  7.2030415e-02  1.0474704e+00  7.0479915e+01  2.8121032e+01  1.5386403e+01 
148808  1.0002224e-05  5.2826443e-01 -5.4303617e-02 -1.0794448e+00 -2.4393938e+01 -8.8357490e+00 -6.9156179e+01 
148809  1.0002224e-05 -6.5502429e-01  2.2540222e-01  2.6374158e-01 -2.8994232e+01 -1.2966646e+01 -5.3797068e+00 
148810  1.0002224e-05 -5.0715638e-01 -2.3029616e-01  2.1815570e-01  3.6647560e+01  1.8540066e+01 -3.8917333e+01 
148811  1.0002224e-05 -5.1706155e-01  7.9514041e-01  1.4707106e-01  2.7993234e+01 -1.5214086e+01 -4.7773241e+00 
148812  1.0002224e-05 -2.7090207e-01  3.6964701e-01  2.9769842e-01  3.2807183e+01 -2.5608434e+00 -7.9876615e+00 
148813  1.0002224e-05  1.1910684e+00  6.5800949e-01 -4.8595159e-01  5.0605863e+00  9.0320566e+00 -4.4461053e+00 
148814  1.0002224e-05  2.6607101e-01 -4.2993838e-03 -1.2029935e+00 -1.0656541e+01 -3.5667444e+01  3.8332768e+01 
148815  1.0002224e-05  1.7603187e-01 -1.7749828e-01  1.4444096e-01 -3.0828896e+01  3.1376227e+01  1.2021649e+00 
148816  1.0002224e-05 -3.3902117e-02 -3.1797017e-01  7.0794773e-01  3.1957788e+01  4.5833052e+00 -1.5274293e+01 
148817  1.0002224e-05 -1.1014747e+00  2.7842624e-01  8.4566251e-01 -1.3823542e+01  1.5226101e+01  6.7025514e+00 
148818  1.0002224e-05 -4.9146798e-01 -3.6966284e-02 -1.2622622e-01 -3.6537162e+01 -3.1884878e+01 -3.4452189e+01 
148819  1.0002224e-05  1.6494057e-01  4.1549704e-01  1.8355469e-01 -3.0991794e+01 -2.5354227e+01  1.0416505e+01 
148820  1.0002224e-05  4.9829377e-01 -5.1613089e-01  9.8867170e-01  1.2490197e+01  2.3255119e-01  4.4891775e+01 
148821  1.0002224e-05 -4.6110140e-01  1.5362051e-01 -1.4397971e-01 -1.5230185e+01 -1.3250749e+01 -2.4017747e+01 
148822  1.0002224e-05  1.8573461e-01  1.0148164e+00  7.7511485e-02  4.9135340e+01  2.3266347e+01 -4.2129016e+01 
148823  1.0002224e-05 -1.7820399e+00 -6.1676914e-01 -1.3630236e+00  2.2342727e+01  2.7326293e+01 -1.5438616e+01 
148824  1.0002224e-05 -2.5765069e+00 -1.1117181e+00  2.0731856e+00 -3.8401802e+01 -1.3667912e+00  2.0969605e+01 
148825  1.0002224e-05 -1.0066574e+00  2.3271887e+00  2.3037760e+00 -4.0582735e+01 -4.1209462e+01 -1.7107698e+01 
148826  1.0002224e-05 -1.9480385e-01  1.4930577e+00 -1.2924630e+00  4.5206701e+01  1.3336992e+01 -6.0840917e+00 
148827  1.0002224e-05  7.4422369e-01  3.4561629e-01  7.3846799e-01  3.2972314e+01  6.0767747e+00  2.1106559e+01 
148828  1.0002224e-05 -2.0735893e+00  7.4443841e-01  1.0337796e+01  1.3470232e+01 -2.2413562e+01 -7.0163564e+01 
148829  1.0002224e-05  4.6278020e-01  5.2530426e-01 -7.8300824e-01  1.9746467e+01 -1.7189224e+01  1.5344188e+01 
148830  1.0002224e-05  1.3338741e+00  3.4016032e-01  6.4725585e-01 -2.9189678e+01  2.8245638e+01  8.3913696e+00 
148831  1.0002224e-05 -6.4152128e-01  4.8028697e-01  8.6146541e-01 -3.1669714e+01  2.9447223e+01 -9.1973765e+00 
148832  1.0002224e-05  1.7684976e-01 -7.6292862e-02 -5.5660406e-02  6.9970694e+01  1.3186639e+01  7.6691225e+00 
148833  1.0002224e-05  3.1876675e-01  3.9676323e-01 -3.6817670e-01  5.8339995e+00 -5.3637648e+00 -9.6038124e+00 
148834  1.0002224e-05  1.2176506e+00 -4.8748774e-01 -1.4173229e+00 -1.4009529e+01  1.7151380e+01  2.6397172e+01 
148835  1.0002224e-05  5.9223044e-02 -3.6464405e-01 -7.0932125e-01  7.0615082e+00 -2.1427101e+01  2.4463742e+01 
148836  1.0002224e-05  9.6674979e-01 -3.1438162e-01  1.0214211e+00 -4.3566403e+00  7.8704584e+00  5.9632226e+01 
148837  1.0002224e-05  8.0731009e-01 -3.6730388e+00 -8.8602394e-01  5.7326849e+00  1.3415846e+01 -2.9932881e+01 
